project,dataset_id,table_id,column_name
basedosdados,br_mobilidados_indicadores,tempo_deslocamento_casa_trabalho,id_municipio
basedosdados,br_mobilidados_indicadores,tempo_deslocamento_casa_trabalho,tempo_medio
basedosdados,br_mobilidados_indicadores,tempo_deslocamento_casa_trabalho,prop_acima_1_hora
basedosdados,br_tesouro_finbra,despesas_orcamentarias,id_municipio
basedosdados,br_tesouro_finbra,despesas_orcamentarias,sigla_uf
basedosdados,br_tesouro_finbra,despesas_orcamentarias,ano
basedosdados,br_tesouro_finbra,despesas_orcamentarias,populacao
basedosdados,br_tesouro_finbra,despesas_orcamentarias,coluna
basedosdados,br_tesouro_finbra,despesas_orcamentarias,id_conta
basedosdados,br_tesouro_finbra,despesas_orcamentarias,conta
basedosdados,br_tesouro_finbra,despesas_orcamentarias,valor
basedosdados,br_tesouro_finbra,despesas_por_funcao,id_municipio
basedosdados,br_tesouro_finbra,despesas_por_funcao,sigla_uf
basedosdados,br_tesouro_finbra,despesas_por_funcao,ano
basedosdados,br_tesouro_finbra,despesas_por_funcao,populacao
basedosdados,br_tesouro_finbra,despesas_por_funcao,coluna
basedosdados,br_tesouro_finbra,despesas_por_funcao,id_conta
basedosdados,br_tesouro_finbra,despesas_por_funcao,conta
basedosdados,br_tesouro_finbra,despesas_por_funcao,valor
basedosdados,br_tesouro_finbra,receitas_orcamentarias,id_municipio
basedosdados,br_tesouro_finbra,receitas_orcamentarias,sigla_uf
basedosdados,br_tesouro_finbra,receitas_orcamentarias,ano
basedosdados,br_tesouro_finbra,receitas_orcamentarias,populacao
basedosdados,br_tesouro_finbra,receitas_orcamentarias,coluna
basedosdados,br_tesouro_finbra,receitas_orcamentarias,id_conta
basedosdados,br_tesouro_finbra,receitas_orcamentarias,conta
basedosdados,br_tesouro_finbra,receitas_orcamentarias,valor
basedosdados,br_ibge_amc,municipio_de_para,id_municipio
basedosdados,br_ibge_amc,municipio_de_para,ano_de
basedosdados,br_ibge_amc,municipio_de_para,ano_para
basedosdados,br_ibge_amc,municipio_de_para,id_AMC
basedosdados,br_mc_auxilio_emergencial,microdados,mes
basedosdados,br_mc_auxilio_emergencial,microdados,sigla_uf
basedosdados,br_mc_auxilio_emergencial,microdados,id_municipio
basedosdados,br_mc_auxilio_emergencial,microdados,nis_beneficiario
basedosdados,br_mc_auxilio_emergencial,microdados,cpf_beneficiario
basedosdados,br_mc_auxilio_emergencial,microdados,nome_beneficiario
basedosdados,br_mc_auxilio_emergencial,microdados,nis_responsavel
basedosdados,br_mc_auxilio_emergencial,microdados,cpf_responsavel
basedosdados,br_mc_auxilio_emergencial,microdados,nome_responsavel
basedosdados,br_mc_auxilio_emergencial,microdados,enquadramento
basedosdados,br_mc_auxilio_emergencial,microdados,parcela
basedosdados,br_mc_auxilio_emergencial,microdados,observacao
basedosdados,br_mc_auxilio_emergencial,microdados,valor_beneficio
basedosdados,br_ibge_pnad_covid,microdados,ano
basedosdados,br_ibge_pnad_covid,microdados,mes
basedosdados,br_ibge_pnad_covid,microdados,semana
basedosdados,br_ibge_pnad_covid,microdados,estado_abrev
basedosdados,br_ibge_pnad_covid,microdados,capital
basedosdados,br_ibge_pnad_covid,microdados,rm_ride
basedosdados,br_ibge_pnad_covid,microdados,estrato
basedosdados,br_ibge_pnad_covid,microdados,UPA
basedosdados,br_ibge_pnad_covid,microdados,numero_domicilio
basedosdados,br_ibge_pnad_covid,microdados,numero_entrevista
basedosdados,br_ibge_pnad_covid,microdados,ordem
basedosdados,br_ibge_pnad_covid,microdados,situacao
basedosdados,br_ibge_pnad_covid,microdados,tipo_area
basedosdados,br_ibge_pnad_covid,microdados,projecao_pop
basedosdados,br_ibge_pnad_covid,microdados,peso_pre_estrat
basedosdados,br_ibge_pnad_covid,microdados,peso_pos_estrat
basedosdados,br_ibge_pnad_covid,microdados,posest
basedosdados,br_ibge_pnad_covid,microdados,A001A
basedosdados,br_ibge_pnad_covid,microdados,A001B1
basedosdados,br_ibge_pnad_covid,microdados,A001B2
basedosdados,br_ibge_pnad_covid,microdados,A001B3
basedosdados,br_ibge_pnad_covid,microdados,A002
basedosdados,br_ibge_pnad_covid,microdados,A003
basedosdados,br_ibge_pnad_covid,microdados,A004
basedosdados,br_ibge_pnad_covid,microdados,A005
basedosdados,br_ibge_pnad_covid,microdados,A006
basedosdados,br_ibge_pnad_covid,microdados,A007
basedosdados,br_ibge_pnad_covid,microdados,A008
basedosdados,br_ibge_pnad_covid,microdados,A009
basedosdados,br_ibge_pnad_covid,microdados,B0011
basedosdados,br_ibge_pnad_covid,microdados,B0012
basedosdados,br_ibge_pnad_covid,microdados,B0013
basedosdados,br_ibge_pnad_covid,microdados,B0014
basedosdados,br_ibge_pnad_covid,microdados,B0015
basedosdados,br_ibge_pnad_covid,microdados,B0016
basedosdados,br_ibge_pnad_covid,microdados,B0017
basedosdados,br_ibge_pnad_covid,microdados,B0018
basedosdados,br_ibge_pnad_covid,microdados,B0019
basedosdados,br_ibge_pnad_covid,microdados,B00110
basedosdados,br_ibge_pnad_covid,microdados,B00111
basedosdados,br_ibge_pnad_covid,microdados,B00112
basedosdados,br_ibge_pnad_covid,microdados,B00113
basedosdados,br_ibge_pnad_covid,microdados,B002
basedosdados,br_ibge_pnad_covid,microdados,B0031
basedosdados,br_ibge_pnad_covid,microdados,B0032
basedosdados,br_ibge_pnad_covid,microdados,B0033
basedosdados,br_ibge_pnad_covid,microdados,B0034
basedosdados,br_ibge_pnad_covid,microdados,B0035
basedosdados,br_ibge_pnad_covid,microdados,B0036
basedosdados,br_ibge_pnad_covid,microdados,B0037
basedosdados,br_ibge_pnad_covid,microdados,B0041
basedosdados,br_ibge_pnad_covid,microdados,B0042
basedosdados,br_ibge_pnad_covid,microdados,B0043
basedosdados,br_ibge_pnad_covid,microdados,B0044
basedosdados,br_ibge_pnad_covid,microdados,B0045
basedosdados,br_ibge_pnad_covid,microdados,B0046
basedosdados,br_ibge_pnad_covid,microdados,B005
basedosdados,br_ibge_pnad_covid,microdados,B006
basedosdados,br_ibge_pnad_covid,microdados,B007
basedosdados,br_ibge_pnad_covid,microdados,B008
basedosdados,br_ibge_pnad_covid,microdados,B009A
basedosdados,br_ibge_pnad_covid,microdados,B009B
basedosdados,br_ibge_pnad_covid,microdados,B009C
basedosdados,br_ibge_pnad_covid,microdados,B009D
basedosdados,br_ibge_pnad_covid,microdados,B009E
basedosdados,br_ibge_pnad_covid,microdados,B009F
basedosdados,br_ibge_pnad_covid,microdados,B0101
basedosdados,br_ibge_pnad_covid,microdados,B0102
basedosdados,br_ibge_pnad_covid,microdados,B0103
basedosdados,br_ibge_pnad_covid,microdados,B0104
basedosdados,br_ibge_pnad_covid,microdados,B0105
basedosdados,br_ibge_pnad_covid,microdados,B0106
basedosdados,br_ibge_pnad_covid,microdados,B011
basedosdados,br_ibge_pnad_covid,microdados,C001
basedosdados,br_ibge_pnad_covid,microdados,C002
basedosdados,br_ibge_pnad_covid,microdados,C003
basedosdados,br_ibge_pnad_covid,microdados,C004
basedosdados,br_ibge_pnad_covid,microdados,C005
basedosdados,br_ibge_pnad_covid,microdados,C0051
basedosdados,br_ibge_pnad_covid,microdados,C0052
basedosdados,br_ibge_pnad_covid,microdados,C0053
basedosdados,br_ibge_pnad_covid,microdados,C006
basedosdados,br_ibge_pnad_covid,microdados,C007
basedosdados,br_ibge_pnad_covid,microdados,C007A
basedosdados,br_ibge_pnad_covid,microdados,C007B
basedosdados,br_ibge_pnad_covid,microdados,C007C
